夏夏🦄中国/China🦄,#genre#
发现之旅,http://wfenf.x3322.net:7788/624878970
中学生,http://119.233.255.62:1234/708869532
中学生,http://wfenf.x3322.net:7788/708869532
CGTN,http://119.233.255.62:1234/609017205
CGTN,http://wfenf.x3322.net:7788/609017205
湖南卫视高清,http://123.118.55.165:45237/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://119.233.255.62:1234/651632648
东方卫视,http://wfenf.x3322.net:7788/651632648
江苏卫视,http://119.233.255.62:1234/623899368
江苏卫视,http://wfenf.x3322.net:7788/623899368
广东卫视,http://119.233.255.62:1234/608831231
广东卫视,http://wfenf.x3322.net:7788/608831231
北京卫视,http://119.233.255.62:1234/630287636
北京卫视,http://wfenf.x3322.net:7788/630287636
辽宁卫视,http://119.233.255.62:1234/630291707
辽宁卫视,http://wfenf.x3322.net:7788/630291707
河北卫视,http://119.233.255.62:1234/962042070
河北卫视,http://wfenf.x3322.net:7788/962042070
江西卫视,http://119.233.255.62:1234/783847495
江西卫视,http://wfenf.x3322.net:7788/783847495
河南卫视,http://119.233.255.62:1234/790187291
河南卫视,http://wfenf.x3322.net:7788/790187291
陕西卫视,http://119.233.255.62:1234/738910838
陕西卫视,http://wfenf.x3322.net:7788/738910838
大湾区卫视,http://119.233.255.62:1234/608917627
大湾区卫视,http://wfenf.x3322.net:7788/608917627
湖北卫视,http://119.233.255.62:1234/947472496
湖北卫视,http://wfenf.x3322.net:7788/947472496
吉林卫视,http://119.233.255.62:1234/947472500
吉林卫视,http://wfenf.x3322.net:7788/947472500
青海卫视,http://119.233.255.62:1234/947472506
青海卫视,http://wfenf.x3322.net:7788/947472506
东南卫视,http://119.233.255.62:1234/849116810
东南卫视,http://wfenf.x3322.net:7788/849116810
海南卫视,http://119.233.255.62:1234/947472502
海南卫视,http://wfenf.x3322.net:7788/947472502
海峡卫视,http://119.233.255.62:1234/849119120
海峡卫视,http://wfenf.x3322.net:7788/849119120
中国农林卫视,http://119.233.255.62:1234/956904896
中国农林卫视,http://wfenf.x3322.net:7788/956904896
兵团卫视,http://119.233.255.62:1234/956923145
兵团卫视,http://wfenf.x3322.net:7788/956923145
宁夏卫视,http://119.233.255.62:1234/738910535
宁夏卫视,http://wfenf.x3322.net:7788/738910535
重庆卫视,http://119.233.255.62:1234/738910914
重庆卫视,http://wfenf.x3322.net:7788/738910914
三沙卫视,http://119.233.255.62:1234/961023778
三沙卫视,http://wfenf.x3322.net:7788/961023778
黑龙江卫视,http://119.233.255.62:1234/738906901
黑龙江卫视,http://wfenf.x3322.net:7788/738906901
夏夏🦋香港/HongKong🦋,#genre#
凤凰中文,http://c.123.rr.kg/163189/fhzw
凤凰资讯,http://c.123.rr.kg/163189/fhzx
凤凰香港,http://c.123.rr.kg/163189/fhhk
翡翠台,http://c.123.rr.kg/163189/fct
华丽翡翠台(硬字幕),http://c.123.rr.kg/163189/jade
无线新闻台,http://c.123.rr.kg/163189/wxxw
HOY TV,http://c.123.rr.kg/163189/hoy
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
CCTV1港澳版,http://c.123.rr.kg/163189/cctv1
澳视澳门,http://c.123.rr.kg/163189/asam
澳视卫星,http://c.123.rr.kg/163189/as
澳门体育,http://c.123.rr.kg/163189/amty
澳门综艺,http://c.123.rr.kg/163189/amzy
澳门莲花,http://c.123.rr.kg/163189/amlh
重温经典,http://c.123.rr.kg/163189/cwjd
TVB1,http://c.123.rr.kg/163189/tvb1
TVBJ1,http://c.123.rr.kg/163189/j1
翡翠剧集台,http://c.123.rr.kg/163189/tvbd
八度空间,http://c.123.rr.kg/163189/8tv
CH5,http://c.123.rr.kg/163189/ch5
CH8,http://c.123.rr.kg/163189/ch8
CHU,http://c.123.rr.kg/163189/chu
华丽翡翠台,http://c.123.rr.kg/163189/hlfct
TVB亚洲武侠,http://c.123.rr.kg/163189/yzwx
TVB娱乐新闻台,http://c.123.rr.kg/163189/ylxw
无线新闻台,http://c.123.rr.kg/163189/wxxwt
TVB星河,http://c.123.rr.kg/163189/tvbxh
CCTV1,http://f.123.rr.kg/163189/cctv1
CCTV2,http://f.123.rr.kg/163189/cctv2
CCTV3,http://f.123.rr.kg/163189/cctv3
CCTV4,http://f.123.rr.kg/163189/cctv4
CCTV5,http://f.123.rr.kg/163189/cctv5
CCTV5,http://f.123.rr.kg/163189/cctv5-2
CCTV5+,http://f.123.rr.kg/163189/cctv5p
CCTV5+,http://f.123.rr.kg/163189/cctv5p-2
CCTV6,http://f.123.rr.kg/163189/cctv6
CCTV7,http://f.123.rr.kg/163189/cctv7
CCTV8,http://f.123.rr.kg/163189/cctv8
CCTV9,http://f.123.rr.kg/163189/cctv9
CCTV10,http://f.123.rr.kg/163189/cctv10
CCTV11,http://f.123.rr.kg/163189/cctv11
CCTV12,http://f.123.rr.kg/163189/cctv12
CCTV13,http://f.123.rr.kg/163189/cctv13
CCTV14,http://f.123.rr.kg/163189/cctv14
CCTV15,http://f.123.rr.kg/163189/cctv15
CCTV16,http://f.123.rr.kg/163189/cctv16
CCTV16,http://f.123.rr.kg/163189/cctv16-2
CCTV17,http://f.123.rr.kg/163189/cctv17
重温经典,http://f.123.rr.kg/163189/cwjd
海峡卫视,http://f.123.rr.kg/163189/hxws
广州综合,http://f.123.rr.kg/163189/gzzh
广州新闻,http://f.123.rr.kg/163189/gzxw
明珠台,http://116.77.33.98:44330/tsfile/live/1009_1.m3u8?key=txiptv
明珠台,http://111.221.137.234:44330/tsfile/live/0112_1.m3u8?key=txiptv
翡翠台,http://c.123.rr.kg/163189/fct
华丽翡翠台(硬字幕),http://c.123.rr.kg/163189/jade
无线新闻台,http://c.123.rr.kg/163189/wxxw
HOY TV,http://c.123.rr.kg/163189/hoy
凤凰中文,http://c.123.rr.kg/163189/fhzw
凤凰资讯,http://c.123.rr.kg/163189/fhzx
凤凰香港,http://c.123.rr.kg/163189/fhhk
CCTV1港澳版,http://c.123.rr.kg/163189/cctv1
澳视澳门,http://c.123.rr.kg/163189/asam
澳视卫星,http://c.123.rr.kg/163189/as
澳门体育,http://c.123.rr.kg/163189/amty
澳门综艺,http://c.123.rr.kg/163189/amzy
澳门莲花,http://c.123.rr.kg/163189/amlh
重温经典,http://c.123.rr.kg/163189/cwjd
TVB1,http://c.123.rr.kg/163189/tvb1
TVBJ1,http://c.123.rr.kg/163189/j1
翡翠剧集台,http://c.123.rr.kg/163189/tvbd
八度空间,http://c.123.rr.kg/163189/8tv
CH5,http://c.123.rr.kg/163189/ch5
CH8,http://c.123.rr.kg/163189/ch8
CHU,http://c.123.rr.kg/163189/chu
华丽翡翠台,http://c.123.rr.kg/163189/hlfct
TVB亚洲武侠,http://c.123.rr.kg/163189/yzwx
TVB娱乐新闻台,http://c.123.rr.kg/163189/ylxw
无线新闻台,http://c.123.rr.kg/163189/wxxwt
TVB星河,http://c.123.rr.kg/163189/tvbxh
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰香港,https://cdn.qd.je/163189/fhhk
凤凰中文,https://cdn.qd.je/163189/fhzw
翡翠台,https://cdn.qd.je/163189/fct
翡翠台(字幕),https://cdn.qd.je/163189/fct2
明珠台(字幕),https://cdn.qd.je/163189/mzt
翡翠台4K(字幕),https://cdn.qd.je/163189/fct4k
翡翠剧集台,https://cdn.qd.je/163189/tvbd
无线新闻台,https://cdn.qd.je/163189/wxxw
TVB Plus(字幕),https://cdn.qd.je/163189/tvbp
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY资讯台,https://cdn.qd.je/163189/hoy78
HOY国际财经台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
NOW新闻台,https://cdn.qd.je/163189/now
RTHK31,https://cdn.qd.je/163189/rthk31
RTHK32,https://cdn.qd.je/163189/rthk32
澳视澳门,https://cdn.qd.je/163189/asam
澳视卫星,https://cdn.qd.je/163189/as
澳门体育,https://cdn.qd.je/163189/amty
澳门综艺,https://cdn.qd.je/163189/amzy
澳门莲花,https://cdn.qd.je/163189/amlh
重温经典,https://cdn.qd.je/163189/cwjd
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
八度空间,https://cdn.qd.je/163189/8tv
CH5,https://cdn.qd.je/163189/ch5
CH8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
龙华电影,https://cdn.qd.je/163189/lhdy
龙华经典,https://cdn.qd.je/163189/lhjd
龙华偶像,https://cdn.qd.je/163189/lhox
龙华日韩,https://cdn.qd.je/163189/lhrh
龙华戏剧,https://cdn.qd.je/163189/lhxj
龙华洋片,https://cdn.qd.je/163189/lhyp
龙华卡通,https://cdn.qd.je/163189/lhkt
金光布袋戏,https://cdn.qd.je/163189/jgbdx
华丽翡翠台,https://cdn.qd.je/163189/hlfct
TVB亚洲武侠,https://cdn.qd.je/163189/yzwx
TVB娱乐新闻台,https://cdn.qd.je/163189/ylxw
无线新闻台,https://cdn.qd.je/163189/wxxwt
TVB星河,https://cdn.qd.je/163189/tvbxh
海峡卫视,https://cdn.qd.je/163189/hxws
海峡卫视,https://cdn.qd.je/163189/hxws2
TVB星河,https://cdn.qd.je/163189/xinghe
天映新加坡,https://cdn.qd.je/163189/typd
天映经典,https://cdn.qd.je/163189/ccm
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台(硬字幕),https://cdn.qd.je/163189/jade
华丽翡翠台(新加坡),https://cdn.qd.je/163189/jade2
Astro AOD,https://cdn.qd.je/163189/aod
Astro AEC,https://cdn.qd.je/163189/aec
Astro QJ,https://cdn.qd.je/163189/qj
Astro欢喜台,https://cdn.qd.je/163189/hxt
爱奇艺,https://cdn.qd.je/163189/iqiyi
天映频道,https://cdn.qd.je/163189/typd2
天映经典,https://cdn.qd.je/163189/ccm2
TVB星河,https://cdn.qd.je/163189/tvbxh2
千禧经典台,https://cdn.qd.je/163189/tvbc
翡翠台(WebVTT字幕),https://cdn.qd.je/163189/fctvtt
明珠台(WebVTT字幕),https://cdn.qd.je/163189/mztvtt
TVB Plus(WebVTT字幕),https://cdn.qd.je/163189/tvbpvtt
黄金华剧台(WebVTT字幕),https://cdn.qd.je/163189/hjhjt
夏夏🐟台湾/Taiwan🐟,#genre#
中视,http://220.135.241.47:8301/0.ts
华视,http://220.135.241.47:8318/0.ts
华视,http://220.135.241.47:8317/0.ts
台视,http://211.72.174.95:8112/0.ts
民视,http://211.72.174.95:8115/0.ts
公视,http://220.135.241.47:8305/0.ts
公视,http://211.72.174.95:8116/0.ts
民视新闻台,http://211.72.174.95:8117/0.ts
台视新闻,http://220.135.241.47:8314/0.ts
台视财经,http://220.135.241.47:8315/0.ts
公视,http://211.72.174.95:8116/0.ts 
公视,http://220.135.241.47:8305/0.ts 
华视,http://220.135.241.47:8318/0.ts 
客家戏曲,http://220.135.241.47:8307/0.ts 
华视,http://220.135.241.47:8317/0.ts 
台视,http://211.72.174.95:8112/0.ts 
台视财经,http://220.135.241.47:8315/0.ts 
中视,http://220.135.241.47:8301/0.ts 
好好帮,http://220.135.241.47:8303/0.ts 
LIVE,http://211.72.174.95:8133/0.ts 
民视,http://211.72.174.95:8115/0.ts 
史努比欢乐秀,http://220.135.241.47:8312/0.ts 
凯撒饭店,http://211.72.174.95:8118/0.ts 
民视新闻台,http://211.72.174.95:8117/0.ts
华视,http://211.72.174.95:8114/0.ts
华视,http://nmk.ioapk.com:5050/of-4gtv-4gtv041/index.m3u8?proxy=true
华视,https://4gtv.158.qzz.io/163189/b6656a22-9521-40ee-85d5-d4bee1560858/
华视,rtmp://f13h.mine.nu/sat/tv111
台视,http://211.72.174.95:8112/0.ts
台视,rtmp://f13h.mine.nu:1935/sat/tv071
台视,rtmp://f13h.mine.nu/sat/tv071
中视,https://iptv.852851.xyz/ch/177f5903c7e4ae806ba85f66cb9a47e9/master.m3u8
民视影剧台,https://cdn12.178.indevs.in/163189/msyj
公视戏剧,https://cdn12.178.indevs.in/163189/gsxj
采昌影剧台,https://cdn12.178.indevs.in/163189/ccyj
靖天映画,https://cdn12.178.indevs.in/163189/jtyh
靖天戏剧台,https://cdn12.178.indevs.in/163189/jtxj
靖天电影台,https://cdn12.178.indevs.in/163189/jtdy
靖洋戏剧台,https://cdn12.178.indevs.in/163189/jyxj
影迷数位电影台,https://cdn12.178.indevs.in/163189/ymswdyt
amc电影台,https://cdn12.178.indevs.in/163189/amc
CinemaWorld,https://cdn12.178.indevs.in/163189/cinemaworld
My Cinema Europe,https://cdn12.178.indevs.in/163189/mce
经典电影台,https://cdn12.178.indevs.in/163189/jddyt
CMusic,https://cdn12.178.indevs.in/163189/cmusic
DreamWorks梦工厂动画,https://cdn12.178.indevs.in/163189/dreamworks
精选动漫台,https://cdn12.178.indevs.in/163189/jxdmt
金光布袋戏,https://cdn12.178.indevs.in/163189/jgbdx
天映频道,http://o11.163189.xyz/stream/live/typd/
马来天映频道,http://o11.163189.xyz/stream/live/ccm/
金光布袋戏,http://o11.163189.xyz/stream/live/jgbdx/
ASTRO AOD,http://o11.163189.xyz/stream/live/aod/
ASTRO AEC,http://o11.163189.xyz/stream/live/aec/
ASTRO 欢喜台,http://o11.163189.xyz/stream/live/hxt/
IQIYI,http://o11.163189.xyz/stream/live/iqiyi/
八度空间,http://cdn6.163189.xyz/163189/8tv
CHANNEL 5,http://cdn6.163189.xyz/163189/ch5
CHANNEL 8,http://cdn6.163189.xyz/163189/ch8
CHANNEL U,http://cdn6.163189.xyz/163189/chu
民视影剧台,https://cdn.qd.je/163189/msyj
公视戏剧,https://cdn.qd.je/163189/gsxj
采昌影剧台,https://cdn.qd.je/163189/ccyj
靖天映画,https://cdn.qd.je/163189/jtyh
靖天戏剧台,https://cdn.qd.je/163189/jtxj
靖天电影台,https://cdn.qd.je/163189/jtdy
靖洋戏剧台,https://cdn.qd.je/163189/jyxj
影迷数位电影台,https://cdn.qd.je/163189/ymswdyt
amc电影台,https://cdn.qd.je/163189/amc
CinemaWorld,https://cdn.qd.je/163189/cinemaworld
My Cinema Europe,https://cdn.qd.je/163189/mce
经典电影台,https://cdn.qd.je/163189/jddyt
CMusic,https://cdn.qd.je/163189/cmusic
DreamWorks梦工厂动画,https://cdn.qd.je/163189/dreamworks
精选动漫台,https://cdn.qd.je/163189/jxdmt
金光布袋戏,https://cdn.qd.je/163189/jgbdx2
TVB Plus,https://cdn.qd.je/163189/tvbp2
纬来电影台,https://cdn.qd.je/163189/wldy
纬来戏剧台,https://cdn.qd.je/163189/wlxj
纬来体育台,https://cdn.qd.je/163189/wlty
龙祥时代,https://cdn.qd.je/163189/lxsd
东森电影,https://cdn.qd.je/163189/dsdy
东森戏剧,https://cdn.qd.je/163189/dsxj
东森洋片,https://cdn.qd.je/163189/dsyp
夏夏🦋极速/HongKong🦋,#genre#
翡翠台,http://139.159.221.112/jr.php?id=2bc1e037cf7dd25ffd1cf86731fdb774&l=0
翡翠台,http://139.159.221.112/jr.php?id=2bc1e037cf7dd25ffd1cf86731fdb774&l=1
翡翠台,http://139.159.221.112/jr.php?id=2bc1e037cf7dd25ffd1cf86731fdb774&l=2
翡翠台,http://139.159.221.112/jr.php?id=6098a7b44d68d0b1fc873e13c67f6eb95f3fb5e35cab231f40d8d00d114aea7a&l=0
翡翠台,http://139.159.221.112/jr.php?id=8af80a34673113c829dc945ed4241567afb3ddce413056391a3616753be5ae33&l=0
翡翠台,http://139.159.221.112/jr.php?id=8af80a34673113c829dc945ed4241567b078dc086c58c2a52105eec4ad7e1b10&l=0
翡翠台,http://139.159.221.112/jr.php?id=29d0d221342c64dc167270a43c8a6493760f9809cd00201aa3d236b023b4fc21&l=0
翡翠台,http://139.159.221.112/jr.php?id=6a307d5ddde29e59d0c479f4520a349a5162c2d9dd753e3056de6d13c3593465&l=0
TVBPlus,http://139.159.221.112/jr.php?id=2fff0e795ee22d45e03703a8ef6198dc&l=0
TVBPlus,http://139.159.221.112/jr.php?id=2fff0e795ee22d45e03703a8ef6198dc&l=1
TVBPlus,http://139.159.221.112/jr.php?id=2fff0e795ee22d45e03703a8ef6198dc&l=2
TVBPlus,http://139.159.221.112/jr.php?id=2fff0e795ee22d45e03703a8ef6198dc&l=3
TVBPlus,http://139.159.221.112/jr.php?id=2fff0e795ee22d45e03703a8ef6198dc&l=4
无线新闻台,http://139.159.221.112/jr.php?id=be56349b9771c2813686cf938e25fd59188dfbfaf34daf7808a26d68fb1a7c3d&l=0
无线新闻台,http://139.159.221.112/jr.php?id=be56349b9771c2813686cf938e25fd59188dfbfaf34daf7808a26d68fb1a7c3d&l=1
无线新闻台,http://139.159.221.112/jr.php?id=be56349b9771c2813686cf938e25fd59188dfbfaf34daf7808a26d68fb1a7c3d&
明珠台,http://139.159.221.112/jr.php?id=dc5b9e01613a8b31868245a52003571a&l=0
明珠台,http://139.159.221.112/jr.php?id=dc5b9e01613a8b31868245a52003571a&l=1
明珠台,http://139.159.221.112/jr.php?id=dc5b9e01613a8b31868245a52003571a&l=2
明珠台,http://139.159.221.112/jr.php?id=dc5b9e01613a8b31868245a52003571a&l=3
明珠台,http://139.159.221.112/jr.php?id=dc5b9e01613a8b31868245a52003571a&l=4
TVB生活台,http://139.159.221.112/jr.php?id=cfce93d1e11c1bff93c18dab3f29759b&l=0
TVB生活台,http://139.159.221.112/jr.php?id=cfce93d1e11c1bff93c18dab3f29759b&l=1
星河,http://139.159.221.112/jr.php?id=b93d84053bc86924a4a4e7c0f485c131&l=0
星河,http://139.159.221.112/jr.php?id=b93d84053bc86924a4a4e7c0f485c131&l=1
星空卫视,http://139.159.221.112/jr.php?id=684d07a60b8836a8493f67f159ed049f&l=0
TVB1,http://139.159.221.112/jr.php?id=448b74cdd8bd69d464f791181fc3ef1e&l=0
明珠劇集台,http://139.159.221.112/jr.php?id=edcad445f360911d31e2f2d4776b6ea655f2f1acbf50e809058277a2367e0a17&l=0
TVBJ1,http://139.159.221.112/jr.php?id=d9c75d64d4b6ac534b747f9a99735c3d&l=0
翡翠劇集台,http://139.159.221.112/jr.php?id=1ca1e1ed74fbc811eae584cd00485eace3ab026f0c6113e58285fcccfaf0ea9f&l=0
翡翠娛樂台,http://139.159.221.112/jr.php?id=6fa8ae78987b233391a792bb4e2160ec22b91addd6f313bdbd7c16ccb5944958&l=0
POP C,http://139.159.221.112/jr.php?id=9a123886f108a829a2d307bcee9d2960&l=0
POP C,http://139.159.221.112/jr.php?id=9a123886f108a829a2d307bcee9d2960&l=1
Now爆谷台,http://139.159.221.112/jr.php?id=77b862e5fea4b1145514bd88e4e135d9&l=0
Now爆谷台,http://139.159.221.112/jr.php?id=77b862e5fea4b1145514bd88e4e135d9&l=1
Now爆谷台,http://139.159.221.112/jr.php?id=77b862e5fea4b1145514bd88e4e135d9&l=2
Now爆谷台,http://139.159.221.112/jr.php?id=77b862e5fea4b1145514bd88e4e135d9&l=3
Now星影台,http://139.159.221.112/jr.php?id=0f0a4ccad408e76dbeac98b1f9d0f455188dfbfaf34daf7808a26d68fb1a7c3d&l=0
Now星影台,http://139.159.221.112/jr.php?id=0f0a4ccad408e76dbeac98b1f9d0f455188dfbfaf34daf7808a26d68fb1a7c3d&l=1
Now星影台,http://139.159.221.112/jr.php?id=0f0a4ccad408e76dbeac98b1f9d0f455188dfbfaf34daf7808a26d68fb1a7c3d&l=2
Now星影台,http://139.159.221.112/jr.php?id=0f0a4ccad408e76dbeac98b1f9d0f455188dfbfaf34daf7808a26d68fb1a7c3d&l=3
夏夏🦋稳定/HongKong🦋,#genre#
TVBPlus,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰资讯,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰香港,http://rihou.cc:555/tv/[Pd]凤凰香港
Now星影,http://rihou.cc:555/tv/[Pd]Now星影
Now爆谷,http://rihou.cc:555/tv/[Pd]Now爆谷
Now新闻,http://rihou.cc:555/tv/[Pd]Now新闻
中天新闻,http://rihou.cc:555/tv/[Pd]中天新闻
有线新闻,http://rihou.cc:555/tv/[Pd]有线新闻
有线综合,http://rihou.cc:555/tv/[Pd]有线综合
有线亚剧,http://rihou.cc:555/tv/[Pd]有线亚剧
无线新闻,http://rihou.cc:555/tv/[Pd]无线新闻
无线翡翠,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠4K,http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠,http://rihou.cc:555/tv/[Pd]无线明珠
无线翡剧,http://rihou.cc:555/tv/[Pd]无线翡剧
无线娱乐,http://rihou.cc:555/tv/[Pd]无线娱乐|
无线娱乐,http://rihou.cc:555/tv/[Pd]无线娱乐
无线星河,http://rihou.cc:555/tv/[Pd]无线星河
无线经典,http://rihou.cc:555/tv/[Pd]无线经典
无线功夫,http://rihou.cc:555/tv/[Pd]无线功夫
澳视澳门,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星,http://rihou.cc:555/tv/[Pd]澳视卫星
澳门体育,http://rihou.cc:555/tv/[Pd]澳门体育
澳门综艺,http://rihou.cc:555/tv/[Pd]澳门综艺
澳门莲花,http:555/tv/[Pd]澳门莲花
央视综合,http://rihou.cc:555/tv/[Pd]央视综合
重温经典,http://rihou.cc:555/tv/[Pd]重温经典
龙华电影,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧,http://rihou.cc:555/tv/[Pd]龙华戏剧
八度空间,http://rihou.cc:555/tv/[Pd]八度空间
CHU综合,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合,http://rihou.cc:555/tv/[Pd]CH8综合
astroaod,http://rihou.cc:555/tv/[Pd]astroaod
夏夏🌸马来西亚/Malaysia🌸,#genre#
RTM WC1,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=f3e2b4dedcb05ec0
夏夏🐎新加坡/Singapore🐎,#genre#
Suria,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=31c87324e598fa7a
夏夏🍁ジャパン/Japan🍁,#genre#
NHK総合ロゴ,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=b413ce945031f9f4
夏夏💐한국/Korea💐,#genre#
KBS 1,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=7027e3489b84e65a
夏夏🌷印尼/Indonesia🌷,#genre#
MagnaTV,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=fc531ab0d1b21d60
夏夏🌿भारत/India🌿,#genre#
AMC Music,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=cf9cad13331e1944AMC音乐，http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=cf9cad13331e1944
夏夏🦕ประเทศไทย/Thailand🦕,#genre#夏夏泰国/Thailand,#genre#
CH3,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=955b7a8584f2d8daCH3，http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=955b7a8584f2d8da
夏夏🌼越南/ViệtNam🌝,#genre#
VTV1,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=3f1f2870f31b30a1
夏夏🥗体育/Sports🥗,#genre#
SPOTV,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=725ce0bdd9afa164
夏夏🍓新闻/News🍓,#genre#
MSNBC,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=1b54255deef500a9MSNBC，http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=1b54255deef500a9
夏夏🌼儿童/Kids🌼,#genre#
PawPatrol,http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=0ec7ab1b9d6a5265汪汪队立大功，http://hh.bt1.886966.xyz:80/落花/iptv.php?token=fed1c7a876a67f1c5f6eec64421343a2&ch=0ec7ab1b9d6a5265
